procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 6115996 1659860 16485208    0    0     0   215 2942 4615 31  0 69  0  0 2018-03-21 09:05:00
 7  0  16592 6112424 1659860 16485216    0    0     0    67 2905 2686 30  0 70  0  0 2018-03-21 09:05:01
 7  0  16592 6110496 1659868 16485276    0    0     0    36 2997 3826 30  0 69  0  0 2018-03-21 09:05:02
 7  0  16592 6110652 1659868 16485260    0    0     0    51 2860 3322 30  0 70  0  0 2018-03-21 09:05:03
 7  0  16592 6096224 1659868 16485288    0    0     0     1 2907 4945 32  0 68  0  0 2018-03-21 09:05:04
 7  0  16592 6095756 1659868 16485292    0    0     0     0 2802 2709 30  0 70  0  0 2018-03-21 09:05:05
 7  0  16592 6096152 1659868 16485308    0    0     0    96 2891 5047 31  0 69  0  0 2018-03-21 09:05:06
 7  0  16592 6096076 1659876 16485296    0    0     0    35 2939 2927 31  0 69  0  0 2018-03-21 09:05:07
 7  0  16592 6095856 1659876 16485316    0    0     0    53 2862 4115 31  0 69  0  0 2018-03-21 09:05:08
 7  0  16592 6086008 1659876 16485316    0    0     0     1 2826 2560 31  0 69  0  0 2018-03-21 09:05:09
 7  0  16592 6083456 1659876 16485344    0    0     0     6 2887 4049 31  0 69  0  0 2018-03-21 09:05:10
 7  0  16592 6083008 1659876 16485296    0    0     0     0 2943 2452 30  0 70  0  0 2018-03-21 09:05:11
 7  0  16592 6081752 1659876 16485316    0    0     0    35 2983 5416 30  0 68  1  0 2018-03-21 09:05:12
 7  0  16592 6075276 1659876 16485380    0    0     0    21 2948 2844 31  0 69  0  0 2018-03-21 09:05:13
 8  0  16592 6072380 1659876 16485412    0    0     0     1 3037 5854 32  0 68  0  0 2018-03-21 09:05:14
 7  0  16592 6072084 1659880 16485432    0    0     0    58 2895 1949 30  0 70  0  0 2018-03-21 09:05:15
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
11  0  16592 6072228 1659880 16485464    0    0     0    19 2850 3306 30  0 70  0  0 2018-03-21 09:05:16
 7  0  16592 6059216 1659880 16485492    0    0     0   152 2982 4343 32  0 68  0  0 2018-03-21 09:05:17
 7  0  16592 6057044 1659884 16485504    0    0     0    65 2928 3231 30  0 69  0  0 2018-03-21 09:05:18
18  0  16592 6047888 1659884 16485524    0    0     0     0 2952 4751 31  0 69  0  0 2018-03-21 09:05:19
 7  0  16592 6047588 1659884 16485532    0    0     0    42 2828 3137 31  0 69  0  0 2018-03-21 09:05:20
 7  0  16592 6046844 1659884 16485556    0    0     0    39 2844 4033 30  0 70  0  0 2018-03-21 09:05:21
 7  0  16592 6048416 1659908 16485584    0    0     0     0 2950 2906 31  0 69  0  0 2018-03-21 09:05:22
 7  0  16592 6041820 1659968 16485628    0    0     0    68 3237 4985 33  0 67  0  0 2018-03-21 09:05:23
 7  0  16592 6042168 1659976 16485644    0    0     0    66 2816 2137 30  0 70  0  0 2018-03-21 09:05:24
 7  0  16592 6040016 1659996 16485692    0    0     0   169 2948 3874 31  0 69  0  0 2018-03-21 09:05:25
 7  0  16592 6039796 1659996 16485696    0    0     0   307 2813 2820 30  0 70  0  0 2018-03-21 09:05:26
 7  0  16592 6039168 1659996 16485712    0    0     0   198 3020 3914 31  0 69  0  0 2018-03-21 09:05:27
 7  0  16592 6034616 1660000 16485728    0    0     0   136 3073 3215 30  0 69  1  0 2018-03-21 09:05:28
 7  0  16592 6034352 1660000 16485744    0    0     0     5 3068 5608 31  0 69  0  0 2018-03-21 09:05:29
 7  0  16592 6034076 1660000 16485764    0    0     0    36 2861 1892 29  0 70  0  0 2018-03-21 09:05:30
 7  0  16592 6019608 1660000 16485784    0    0     0   132 3026 3756 32  0 68  0  0 2018-03-21 09:05:31
 9  0  16592 6019716 1660000 16485768    0    0     0     4 2859 2060 30  0 70  0  0 2018-03-21 09:05:32
 7  0  16592 6013236 1660032 16485788    0    0     0   108 2949 3440 30  0 70  0  0 2018-03-21 09:05:33
 7  0  16592 6012248 1660056 16485840    0    0     0     5 2915 2340 30  0 70  0  0 2018-03-21 09:05:34
 7  0  16592 6009960 1660056 16485856    0    0     0    69 2896 3477 31  0 69  0  0 2018-03-21 09:05:35
 7  0  16592 6003324 1660056 16485868    0    0     0   300 2993 3105 30  0 70  0  0 2018-03-21 09:05:36
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 9  0  16592 6003520 1660056 16485888    0    0     0     4 2907 3049 31  0 69  0  0 2018-03-21 09:05:37
 7  0  16592 6007492 1660056 16485908    0    0     0   120 2880 3667 31  0 68  0  0 2018-03-21 09:05:38
